]633;E;{   echo -e "file\\tline\\tcommand_fn\\tpresence"\x3b   rg -n "#\\[tauri::command\\]" src-tauri/src --glob '*.rs' | while IFS=: read -r f l _\x3b do     fn=$(sed -n "$((l+1)),$((l+6))p" "$f" | rg -o "fn\\s+[A-Za-z0-9_]+" | head -n1 | awk '{print $2}')\x3b     echo -e "$f\\t$l\\t${fn:-UNKNOWN}\\tFOUND"\x3b   done\x3b } > "$RAW/BACKEND_COMMAND_MAP.tsv";7084838b-a2ef-4d2a-a3ae-24a2fdc603e6]633;Cfile	line	command_fn	presence
src-tauri/src/api/vector_store_api.rs	563	vector_store_init	FOUND
src-tauri/src/api/vector_store_api.rs	577	vector_store_insert	FOUND
src-tauri/src/api/vector_store_api.rs	590	vector_search	FOUND
src-tauri/src/api/vector_store_api.rs	604	vector_store_get	FOUND
src-tauri/src/api/vector_store_api.rs	617	vector_store_update	FOUND
src-tauri/src/api/vector_store_api.rs	631	vector_store_delete	FOUND
src-tauri/src/api/vector_store_api.rs	644	vector_store_get_stats	FOUND
src-tauri/src/api/vector_store_api.rs	665	check_sqlite_available	FOUND
src-tauri/src/meta_orchestrator/commands.rs	29	orchestrator_init	FOUND
src-tauri/src/meta_orchestrator/commands.rs	49	orchestrator_get_state	FOUND
src-tauri/src/meta_orchestrator/commands.rs	62	orchestrator_run_cycle	FOUND
src-tauri/src/meta_orchestrator/commands.rs	78	orchestrator_set_mode	FOUND
src-tauri/src/meta_orchestrator/commands.rs	104	orchestrator_get_metrics	FOUND
src-tauri/src/meta_orchestrator/commands.rs	117	orchestrator_enqueue_task	FOUND
src-tauri/src/meta_orchestrator/commands.rs	164	orchestrator_get_queue	FOUND
src-tauri/src/meta_orchestrator/commands.rs	180	orchestrator_get_engines	FOUND
src-tauri/src/meta_orchestrator/commands.rs	196	orchestrator_get_health	FOUND
src-tauri/src/meta_orchestrator/commands.rs	219	orchestrator_get_report	FOUND
src-tauri/src/api/engine_api.rs	14	run_evolution	FOUND
src-tauri/src/api/engine_api.rs	60	get_evolution_state	FOUND
src-tauri/src/api/engine_api.rs	67	quick_health_check	FOUND
src-tauri/src/api/telemetry_api.rs	48	read_production_week1_csv	FOUND
src-tauri/src/api/helios_api.rs	10	get_helios_state	FOUND
src-tauri/src/api/memory_api.rs	18	get_memory_state	FOUND
src-tauri/src/api/memory_api.rs	31	write_snapshot	FOUND
src-tauri/src/api/memory_api.rs	39	read_snapshot	FOUND
